	tissue_id
GTEX-13SLW-0226-SM-5S2NA	Adipose_Subcutaneous
GTEX-13SLX-0426-SM-5QGRC	Adipose_Subcutaneous
GTEX-13U4I-0226-SM-5SIB1	Adipose_Subcutaneous
GTEX-13VXT-0226-SM-5LU9Q	Adipose_Subcutaneous
GTEX-13VXU-0226-SM-5SI9R	Adipose_Subcutaneous
GTEX-13W3W-2526-SM-5SI9P	Adipose_Subcutaneous
GTEX-13X6J-0226-SM-7EPGC	Adipose_Subcutaneous
GTEX-13X6K-0226-SM-5QGPB	Adipose_Subcutaneous
GTEX-13YAN-0426-SM-5O9DR	Adipose_Subcutaneous
GTEX-144FL-0226-SM-5Q5D4	Adipose_Subcutaneous
GTEX-144GL-0226-SM-5QGOX	Adipose_Subcutaneous
GTEX-144GM-1926-SM-5LUAN	Adipose_Subcutaneous
GTEX-144GO-1626-SM-7EPG5	Adipose_Subcutaneous
GTEX-145LS-0226-SM-5O9A5	Adipose_Subcutaneous
GTEX-145LT-1826-SM-5QGP4	Adipose_Subcutaneous
GTEX-145ME-1926-SM-5MR6T	Adipose_Subcutaneous
GTEX-145MF-0526-SM-5LUA6	Adipose_Subcutaneous
GTEX-145MG-0126-SM-5TDDA	Adipose_Subcutaneous
GTEX-145MI-0426-SM-5O99V	Adipose_Subcutaneous
GTEX-145MN-2626-SM-5NQAH	Adipose_Subcutaneous
GTEX-145MO-0426-SM-5QGP6	Adipose_Subcutaneous
GTEX-146FH-0226-SM-5QGPQ	Adipose_Subcutaneous
GTEX-146FQ-0226-SM-5NQAL	Adipose_Subcutaneous
GTEX-146FR-1826-SM-5QGPF	Adipose_Subcutaneous
GTEX-14753-0326-SM-5QGQB	Adipose_Subcutaneous
GTEX-147F3-0626-SM-5NQ9I	Adipose_Subcutaneous
GTEX-147GR-0426-SM-5S2OL	Adipose_Subcutaneous
GTEX-147JS-0426-SM-5TDD2	Adipose_Subcutaneous
GTEX-148VI-1726-SM-5S2W9	Adipose_Subcutaneous
GTEX-1497J-2326-SM-5NQBK	Adipose_Subcutaneous
GTEX-14A5H-0526-SM-5TDCN	Adipose_Subcutaneous
GTEX-14ABY-0326-SM-5TDDK	Adipose_Subcutaneous
GTEX-14AS3-2026-SM-5TDD9	Adipose_Subcutaneous
GTEX-14BIL-0226-SM-5SI9E	Adipose_Subcutaneous
GTEX-14BIN-0726-SM-793DQ	Adipose_Subcutaneous
GTEX-14BMU-2126-SM-5S2TS	Adipose_Subcutaneous
GTEX-14BMV-0226-SM-5S2N2	Adipose_Subcutaneous
GTEX-14C39-2526-SM-5S2UH	Adipose_Subcutaneous
GTEX-14C5O-0226-SM-5SI6O	Adipose_Subcutaneous
GTEX-14DAQ-0226-SM-664MQ	Adipose_Subcutaneous
GTEX-14DAR-1926-SM-5S2NQ	Adipose_Subcutaneous
GTEX-14E1K-2126-SM-793DU	Adipose_Subcutaneous
GTEX-14E6C-0226-SM-5S2N3	Adipose_Subcutaneous
GTEX-14E6D-0226-SM-62LDW	Adipose_Subcutaneous
GTEX-14E6E-1926-SM-664N4	Adipose_Subcutaneous
GTEX-14H4A-1026-SM-62LDY	Adipose_Subcutaneous
GTEX-14ICK-0326-SM-6LLIZ	Adipose_Subcutaneous
GTEX-14ICL-2026-SM-62LDN	Adipose_Subcutaneous
GTEX-14JG1-0526-SM-6LLHW	Adipose_Subcutaneous
GTEX-14JG6-2326-SM-6LLH3	Adipose_Subcutaneous
GTEX-14JIY-0526-SM-62LFH	Adipose_Subcutaneous
GTEX-14LLW-0226-SM-62LEL	Adipose_Subcutaneous
GTEX-14PHX-2426-SM-62LEN	Adipose_Subcutaneous
GTEX-14PII-0326-SM-6LLIQ	Adipose_Subcutaneous
GTEX-14PJ2-0226-SM-6LLH4	Adipose_Subcutaneous
GTEX-14PJ3-1926-SM-62LEY	Adipose_Subcutaneous
GTEX-14PJ4-2226-SM-6LLIS	Adipose_Subcutaneous
GTEX-14PJ6-2226-SM-6LLIV	Adipose_Subcutaneous
GTEX-14PJM-0326-SM-62LF2	Adipose_Subcutaneous
GTEX-14PK6-2026-SM-6LLHP	Adipose_Subcutaneous
GTEX-14PN3-2526-SM-6EU15	Adipose_Subcutaneous
GTEX-15CHQ-0226-SM-6EU2S	Adipose_Subcutaneous
GTEX-15DCD-0226-SM-6LPKC	Adipose_Subcutaneous
GTEX-15DDE-0226-SM-6LLJ6	Adipose_Subcutaneous
GTEX-15ER7-0426-SM-6PAM3	Adipose_Subcutaneous
GTEX-15ETS-0426-SM-6PANI	Adipose_Subcutaneous
GTEX-15G19-0226-SM-6PAL2	Adipose_Subcutaneous
GTEX-15RIE-2326-SM-7KFSC	Adipose_Subcutaneous
GTEX-15SDE-2426-SM-7KFRC	Adipose_Subcutaneous
GTEX-15UKP-0526-SM-7KFRO	Adipose_Subcutaneous
GTEX-169BO-1426-SM-9MQJT	Adipose_Subcutaneous
GTEX-16AAH-2026-SM-7LG5F	Adipose_Subcutaneous
GTEX-16BQI-0526-SM-6PAM8	Adipose_Subcutaneous
GTEX-16GPK-0226-SM-7DUFI	Adipose_Subcutaneous
GTEX-16MT8-0526-SM-6PAM6	Adipose_Subcutaneous
GTEX-16MTA-2126-SM-6PALC	Adipose_Subcutaneous
GTEX-16NGA-1826-SM-7LG5L	Adipose_Subcutaneous
GTEX-16NPX-0326-SM-7EWDI	Adipose_Subcutaneous
GTEX-16XZY-2526-SM-7DHL2	Adipose_Subcutaneous
GTEX-16XZZ-0226-SM-7MGVJ	Adipose_Subcutaneous
GTEX-16YQH-0226-SM-6PALD	Adipose_Subcutaneous
GTEX-17EUY-0526-SM-7EWDE	Adipose_Subcutaneous
